pixel_id,date,ndvi
0,2017-04-03,
0,2017-04-20,0.6924
0,2017-04-30,
0,2017-05-10,
0,2017-06-02,
0,2017-06-12,
0,2017-06-13,
0,2017-06-19,0.875
0,2017-06-22,
0,2017-07-06,0.8875
0,2017-07-13,
0,2017-07-22,
0,2017-08-05,
0,2017-09-10,
0,2017-09-20,
0,2017-09-24,0.8684
0,2017-10-10,
0,2017-10-11,
0,2017-10-31,
0,2017-11-03,0.5825
0,2017-11-16,0.5644
0,2017-12-06,0.5541
0,2017-12-13,0.172
0,2017-12-23,0.1798
0,2017-12-24,
0,2017-12-25,
0,2018-01-08,
0,2018-01-14,
0,2018-02-09,
0,2018-02-13,
0,2018-02-23,
0,2018-02-28,
0,2018-03-14,
0,2018-03-20,
0,2018-03-23,0.1386
0,2018-03-24,
0,2018-03-25,
0,2018-03-28,0.169
0,2018-04-02,0.2021
0,2018-04-07,
0,2018-04-08,
0,2018-04-13,
0,2018-04-14,
0,2018-04-17,0.391
0,2018-04-18,
0,2018-04-19,
0,2018-04-20,0.4592
0,2018-04-22,0.5915
0,2018-04-24,
0,2018-04-25,
0,2018-04-27,
0,2018-04-28,
0,2018-04-30,
0,2018-05-05,0.8599
0,2018-05-07,
0,2018-05-08,
0,2018-05-12,
0,2018-05-18,
0,2018-05-25,0.9148
0,2018-05-30,0.0231
0,2018-06-01,
0,2018-06-02,
0,2018-06-04,
0,2018-06-09,
0,2018-06-14,0.9186
0,2018-06-16,0.919
0,2018-06-19,0.9223
0,2018-06-21,0.8812
0,2018-06-22,
0,2018-06-23,
0,2018-06-26,0.9135
0,2018-06-27,
0,2018-06-29,0.9187
0,2018-07-01,0.9056
0,2018-07-02,
0,2018-07-04,
0,2018-07-07,
0,2018-07-08,
0,2018-07-09,0.902
0,2018-07-11,
0,2018-07-12,
0,2018-07-13,
0,2018-07-14,
0,2018-07-16,
0,2018-07-17,
0,2018-07-18,
0,2018-07-19,
0,2018-07-22,
0,2018-07-24,
0,2018-07-26,0.9139
0,2018-07-27,
0,2018-07-29,0.899
0,2018-07-31,0.8911
0,2018-08-01,
0,2018-08-03,
0,2018-08-05,0.8792
0,2018-08-06,
0,2018-08-08,
0,2018-08-11,
0,2018-08-15,
0,2018-08-16,
0,2018-08-17,
0,2018-08-18,
0,2018-08-20,0.904
0,2018-08-21,
0,2018-08-23,
0,2018-08-26,
0,2018-08-27,
0,2018-08-28,0.8936
0,2018-09-04,0.8971
0,2018-09-05,
0,2018-09-06,
0,2018-09-09,0.8875
0,2018-09-10,
0,2018-09-11,
0,2018-09-12,
0,2018-09-16,
0,2018-09-17,
0,2018-09-19,0.9004
0,2018-09-20,
0,2018-09-21,
0,2018-09-22,
0,2018-09-24,0.9095
0,2018-09-25,
0,2018-09-26,
0,2018-09-27,0.9074
0,2018-09-29,
0,2018-09-30,
0,2018-10-02,0.83
0,2018-10-04,
0,2018-10-05,
0,2018-10-07,0.8354
0,2018-10-09,0.8069
0,2018-10-10,
0,2018-10-12,
0,2018-10-15,
0,2018-10-16,
0,2018-10-17,0.6548
0,2018-10-19,0.6053
0,2018-10-20,
0,2018-10-22,0.5995
0,2018-10-25,
0,2018-10-26,
0,2018-11-01,
0,2018-11-11,
0,2018-11-15,
0,2018-11-16,
0,2018-11-18,
0,2018-11-24,
0,2018-11-28,0.2715
0,2018-12-11,0.2537
0,2018-12-13,
0,2018-12-15,
0,2018-12-18,0.2595
0,2018-12-26,0.4931
0,2018-12-28,
0,2019-01-03,
0,2019-01-07,0.5336
0,2019-01-15,0.4669
0,2019-01-18,
0,2019-01-19,
0,2019-01-22,0.4888
0,2019-01-24,
0,2019-01-25,0.5023
0,2019-01-29,
0,2019-02-04,0.3072
0,2019-02-06,0.2235
0,2019-02-08,
0,2019-02-12,
0,2019-02-13,
0,2019-02-14,0.2802
0,2019-02-16,0.2212
0,2019-02-17,
0,2019-02-18,
0,2019-02-19,0.488
0,2019-02-21,0.4951
0,2019-02-22,
0,2019-02-23,
0,2019-02-24,0.5026
0,2019-02-26,
0,2019-02-27,
0,2019-02-28,
0,2019-03-03,0.4139
0,2019-03-05,
0,2019-03-08,0.1707
0,2019-03-16,0.3189
0,2019-03-19,
0,2019-03-21,0.4833
0,2019-03-23,0.4422
0,2019-03-24,
0,2019-03-26,0.4926
0,2019-03-28,0.4603
0,2019-03-29,
0,2019-03-30,
0,2019-03-31,0.4654
0,2019-04-02,
0,2019-04-05,
0,2019-04-08,
0,2019-04-15,
0,2019-04-17,0.4329
0,2019-04-18,
0,2019-04-19,
0,2019-04-20,
0,2019-04-22,
0,2019-04-23,
0,2019-04-25,
0,2019-04-30,0.5889
0,2019-05-07,0.8015
0,2019-05-13,
0,2019-05-14,
0,2019-05-15,
0,2019-05-23,
0,2019-05-24,
0,2019-05-30,0.9028
0,2019-06-01,0.9003
0,2019-06-02,
0,2019-06-04,
0,2019-06-07,
0,2019-06-12,
0,2019-06-13,
0,2019-06-16,0.9071
0,2019-06-17,
0,2019-06-18,
0,2019-06-19,0.8919
0,2019-06-24,0.9073
0,2019-06-26,0.8887
0,2019-06-27,
0,2019-06-28,
0,2019-06-29,
0,2019-07-01,
0,2019-07-02,
0,2019-07-04,0.8911
0,2019-07-06,0.8941
0,2019-07-07,
0,2019-07-09,
0,2019-07-14,
0,2019-07-16,0.8992
0,2019-07-17,
0,2019-07-19,
0,2019-07-21,
0,2019-07-22,
0,2019-07-23,
0,2019-07-24,0.8712
0,2019-07-26,0.8132
0,2019-07-29,0.9101
0,2019-08-01,
0,2019-08-03,0.8941
0,2019-08-05,
0,2019-08-06,
0,2019-08-08,0.8847
0,2019-08-11,
0,2019-08-18,
0,2019-08-21,
0,2019-08-22,
0,2019-08-23,
0,2019-08-25,0.8913
0,2019-08-26,
0,2019-08-27,
0,2019-08-28,
0,2019-08-30,0.8921
0,2019-08-31,
0,2019-09-01,
0,2019-09-04,
0,2019-09-09,0.8939
0,2019-09-11,
0,2019-09-12,0.9076
0,2019-09-14,0.8887
0,2019-09-15,
0,2019-09-16,
0,2019-09-17,0.761
0,2019-09-19,
0,2019-09-20,
0,2019-09-21,
0,2019-09-22,
0,2019-09-27,
0,2019-09-29,
0,2019-09-30,
0,2019-10-01,
0,2019-10-07,0.8835
0,2019-10-11,
0,2019-10-12,
0,2019-10-14,
0,2019-10-16,
0,2019-10-17,0.699
0,2019-10-25,
0,2019-10-26,
0,2019-10-27,0.5604
0,2019-11-10,
0,2019-11-13,0.2474
0,2019-11-19,
0,2019-11-20,
0,2019-11-30,
0,2019-12-03,0.2506
0,2019-12-04,
0,2019-12-06,0.2788
0,2019-12-08,0.2388
0,2019-12-10,
0,2019-12-19,
0,2019-12-28,0.2437
0,2019-12-29,
0,2019-12-31,0.2775
0,2020-01-02,0.2217
0,2020-01-03,
0,2020-01-05,0.2997
0,2020-01-07,0.2593
0,2020-01-08,
0,2020-01-10,0.279
0,2020-01-12,0.2334
0,2020-01-14,
0,2020-01-15,
0,2020-01-17,0.2682
0,2020-01-18,
0,2020-01-20,0.2962
0,2020-01-22,0.2221
0,2020-01-23,
0,2020-01-24,
0,2020-01-25,
0,2020-01-27,0.2505
0,2020-01-30,0.2066
0,2020-02-01,
0,2020-02-06,
0,2020-02-07,
0,2020-02-09,0.4212
0,2020-02-14,0.4032
0,2020-02-21,0.457
0,2020-02-22,
0,2020-02-24,
0,2020-03-03,
0,2020-03-08,
0,2020-03-12,0.4913
0,2020-03-13,
0,2020-03-15,
0,2020-03-17,0.303
0,2020-03-18,
0,2020-03-19,
0,2020-03-20,
0,2020-03-23,
0,2020-03-24,
0,2020-03-25,
0,2020-03-27,
0,2020-03-28,
0,2020-04-01,
0,2020-04-02,
0,2020-04-03,
0,2020-04-04,
0,2020-04-06,0.4513
0,2020-04-07,
0,2020-04-09,0.4648
0,2020-04-11,0.4585
0,2020-04-12,
0,2020-04-13,
0,2020-04-14,0.5028
0,2020-04-16,
0,2020-04-17,
0,2020-04-18,
0,2020-04-22,
0,2020-04-23,
0,2020-04-24,
0,2020-04-27,
0,2020-05-04,
0,2020-05-07,
0,2020-05-08,
0,2020-05-09,
0,2020-05-17,
0,2020-05-18,
0,2020-05-19,0.893
0,2020-05-23,
0,2020-05-24,0.9198
0,2020-05-26,0.9042
0,2020-05-27,
0,2020-05-29,
0,2020-05-31,
0,2020-06-01,
0,2020-06-02,
0,2020-06-03,
0,2020-06-11,
0,2020-06-13,
0,2020-06-16,
0,2020-06-23,0.9119
0,2020-06-25,0.8828
0,2020-06-27,
0,2020-06-30,
